_id,amenities,check_in_date,check_out_date,city,country,description,hotel_star_rating,landmark,latitude,longitude,occupancy,property_address,property_id,property_name,room_price,room_types,uniq_id
ObjectId(5b379a6ee15bc1a8984f1250),WiFi|Free Breakfast|AC,04/08/2016,05/08/2016,New Delhi,India,good property with all basic needsproperty is made in the main market of gk 2many restaurants are at walkable distance auto stand is on walkable distance .,3,,28.53335,77.2430267,2 Adults 0 Kid,"Greater Kailash, New Delhi",109756,Pamposh Bed n Breakfast,3778,standard Room,eb49a324770d08a16f1a7373667c9e22
ObjectId(5b379a6ee15bc1a8984f1251),WiFi|Free Breakfast|Newspaper,04/08/2016,05/08/2016,Coimbatore,India,"Gokulam Hotels & Resorts is promoted by , South Indiaâ??s leading Sree Gokulam Chit &Finance Co. Pvt. Ltd. The flagship company of the Gokulam Group of Companies is in its 4th decade of service to the nation. Having diversified into the hospitality industry currently runs properties in Chennai, Cochin, Coimbatore, Guruvayur, Thalassery and Neeleswaram offering complete end to end hospitality solutions for both business and leisure travellers.The Gokulam Park Coimbatore has 107 well-appointed guest rooms including suites. The multi-cuisine restaurant â??Bytes 24 X 7â?? offers both buffet and A la carte meals and snacks and the well-stocked Bar â??Zero Degreeâ?? keeps your spirits high.Â  The Hotel has an extensive banqueting facility and can handle from 25 to 200 guests for Conferences and social gatherings.Â  The Hotel has an in-house laundry, Bali â?? Spa, swimming pool, business Centre, free wireless internet connectivity and a host services to make your stay a comfortable one.",2,,11.0570374,77.0686646,1 Adult 2 Kids,"Mylampatti, Coimbatore",41906,Gokulam Park,4379,Executive Single,6c1851b96e33f2d2efe02a0c0d1df109
ObjectId(5b379a6ee15bc1a8984f1252),WiFi|Newspaper|Card Payment|Pickup & Drop|Parking|AC,04/08/2016,05/08/2016,New Delhi,India,"What should you know? Hotel Te is situated offers modern amenities like parking space, internet access, airport transfer, business center, jacuzzi, 24x7 help desk, currency exchange, safe deposits, and travel desk. The hotel has spacious rooms that are equipped with facilities like LED TV, Wi-Fi, and mini bar. The property has Pind Balluchi dining services and a lounge bar. The hotel can be reached from New Delhi Railway Station which is 7.5 km away. Itï¿½s just 2.6 km away from Lotus Temple and in proximity to tourist hot spots like Kalkaji Mandir, Humayun Tomb, Lajpat Nagar Market, Akshardham Temple, and Connaught Place.Why should you stay here? The hotel is centrally located in the heart of the city and provides comfortable access to tourist as well as commercial spots of the area.",5,,28.5452023,77.2470245,1 Adult 2 Kids,"C.R.Park, New Delhi",39566,Hotel Te,3500,Day Use Room,64251bc913bb7a12e37c7f8f57e8e87c
ObjectId(5b379a6ee15bc1a8984f1253),,04/08/2016,05/08/2016,New Delhi,India,,1,,28.5415707,77.2413788,2 Adults 2 Kids,", New Delhi",106370,Olive Service Apartment Greater Kailash2 A2- 2A,4445,1BHK,a86e0a92aac4e2b62c0dc4b404e40f18
ObjectId(5b379a6ee15bc1a8984f1254),WiFi|AC,04/08/2016,05/08/2016,New Delhi,India,14 kms to Indira gandhi International Airport16.7 kms to New Delhi Railway Station12.6 kms to India Gate 9.3 kms to Qutub Minar,4,,28.5449734,77.2487793,2 Adults 0 Kid,"Kalkaji, New Delhi",112768,V Y Lodging 1,8889,A/C Cottages,e73dfb6d2535d83341b7ad33b55dd8ca
ObjectId(5b379a6ee15bc1a8984f1255),WiFi|Free Breakfast|AC,04/08/2016,05/08/2016,New Delhi,India,3 kms to Kalkaji Mandir Metro station 14 kms to indira Gandhi International Airport 13 kms to new delhi Railway station 8 kms to qutub minar 12 kms to India Gate,3,,28.5352917,77.2509384,2 Adults 0 Kid,"Chittaranjan, New Delhi",112078,Dhritikunja Second,2362,Standard Room,f045e3395dcb06e0f97cbd805f580c18
ObjectId(5b379a6ee15bc1a8984f1256),WiFi,04/08/2016,05/08/2016,New Delhi,India,,2,,28.6524467,77.1916504,2 Adults 2 Kids,", New Delhi",103002,Yes Stays Karol Bagh,2640,Deluxe Double,ff64ff4a848d5bb89593d4b43bb57c5b
ObjectId(5b379a6ee15bc1a8984f1257),WiFi|Newspaper|Parking|AC,04/08/2016,05/08/2016,New Delhi,India,,5,,28.6119099,77.0899963,2 Adults 2 Kids,"Near Pankha Road Flyover, New Delhi",109814,Neelgagan Guest House,1629,Double A/C Rooms,ec0334947ad7f94478dbc394343ab04d
ObjectId(5b379a6ee15bc1a8984f1258),WiFi|Newspaper|Card Payment|Elevator|Parking,04/08/2016,05/08/2016,New Delhi,India,"WHERE IT IS: Karol Bagh, New Delhi NEAREST LANDMARK: Prominently located in Channa MarketWHAT YOU SHOULD KNOW: Hotel Metro City offers 34 rooms at low tariffs in the bustling Karol Bagh market area. The location makes access to the shopping and food fairly easy. It is also easy to get to other important parts of the city - like Connaught Place, for example, which is just 3 kilometres away from here. The rooms are basic and aimed at the price conscious traveller and those here for work on a short trip. There is only a continental breakfast in the hotel as there is no restaurant on the premises but other meals may be brought in from one of the many options available nearby. WHY YOU SHOULD STAY HERE: For inexpensive accommodation in the heart of the city.",1,,28.6474075,77.1882935,2 Adults 2 Kids,"Karol Bagh, New Delhi",13099,Hotel Metro City,1067,Standard Double,5b17676c8c86fbf0bae164005bf8f4b3
ObjectId(5b379a6ee15bc1a8984f1259),Free Breakfast|AC,04/08/2016,05/08/2016,Chittorgarh,India,Its in one of the best location in chittorgarh and Beautiful Recently retired couple stay here.The owner is retired faculty of Army school chittorgarh.,4,,24.8641815,74.6173477,2 Adults 1 Kid,"Madhuban, Chittorgarh",112942,Archana Homestay,662,Standard Room,246f3b0294d09d8a32716a3daaa1622b
ObjectId(5b379a6ee15bc1a8984f125a),WiFi|AC,04/08/2016,05/08/2016,New Delhi,India,20 kms to Indira Gandhi International Airport 16 kms to New Delhi Railway Station 11 kms to India Gate 14 kms to Qutab Minar,5,,28.5308819,77.314743,2 Adults 0 Kid,"Madanpur Khadar, New Delhi",112420,Javitri Residency,1417,Standard Room,babe3d9205de261509214093ffb0eaa3
ObjectId(5b379a6ee15bc1a8984f125b),WiFi|AC,04/08/2016,05/08/2016,New Delhi,India,19 kms to Indira Gandhi International Airport 11 kms to India Gate 17 kms to New delhi Railway Station,3,,28.5279579,77.2897873,2 Adults 0 Kid,"Sarita Vihar, New Delhi",112394,Karan Guest House,1417,Standard Room,60b9343068dd2be76725af178a34b9df
ObjectId(5b379a6ee15bc1a8984f125c),Bar|Elevator|Parking|AC,04/08/2016,05/08/2016,New Delhi,India,,2,,28.6479454,77.1908875,2 Adults 2 Kids,", New Delhi",92446,Deluxe Otani Hotel Inn,1667,Deluxe Ac,e60c8f9d45b3c48cccad84867704243b
ObjectId(5b379a6ee15bc1a8984f125d),Newspaper|AC,04/08/2016,05/08/2016,Noida,India,,1,,28.4594021,77.5087357,2 Adults 2 Kids,"Tower Number 4, Noida",79060,The Greno,1667,Double A/C Rooms,2016da7f93a794638dbfb170a8c6f646
ObjectId(5b379a6ee15bc1a8984f125e),WiFi|Newspaper|Card Payment|Parking,04/08/2016,05/08/2016,New Delhi,India,"What should you know? The hotel is located in the suburbs of Delhi and offers easy access to numerous places of tourist interest. A travel desk, airport/station transfer, internet connectivity, room-service, business facilities, and currency exchange add to the comforts provided by the hotel. The air-conditioned rooms are spacious, well-maintained and well-kept. The convenient location makes it popular among business and leisure travellers.Why should you stay here? Qutub Minar, Chattarpur Mandir, Humayuns Tomb, and Lotus Temple are locate in close vicinity. Shopaholics can head to the nearby Ambience Mall.",5,,28.5267792,77.1522827,2 Adults 2 Kids,"Vasant Kunj, New Delhi",13954,Hotel Malik Continental,1500,Silver Class,e1bbb6b9ed085d497a1698521e7910ae
ObjectId(5b379a6ee15bc1a8984f125f),AC,04/08/2016,05/08/2016,New Delhi,India,13 kms to New delhi railway station 6.7 kms to Hazrat Nizamuddin railway station 14 kms to Indira Gandhi International Airport 3 kms to Kalka Mandir Metro station,4,,28.5352917,77.2509384,2 Adults 0 Kid,"Chittaranjan, New Delhi",112070,Madhukunj,1334,Double A/C Rooms,a243206e5fecdb6aec0ece7bdbb69da6
ObjectId(5b379a6ee15bc1a8984f1260),,04/08/2016,05/08/2016,New Delhi,India,14.7 kms to Connaught place 1.2 kms to Sarita vihar Metro station 1.5 kms to Sarita vihar Metro Depot 1.9 Kms to Jasolla Apolla21.2 kms to Airport,3,,28.5279579,77.2897873,2 Adults 0 Kid,"Sarita Vihar, New Delhi",111618,Comfort Inn,1067,Double Non-A/C Rooms,976f86987c807f4eccae642b97b40716
ObjectId(5b379a6ee15bc1a8984f1261),WiFi|Newspaper|Bar|Card Payment|Pickup & Drop|Parking|AC,04/08/2016,05/08/2016,New Delhi,India,"A well-appointed mid market hotel, offering comfortable, modern rooms, a multicuisine restaurant (LINX) serving a range of local and internationally inspired dishes and other facilities including meeting room and a Conference and Banqueting space (total capacity 200) and wifi.The hotel is located on the main road in Whitefield, Bangalore which is the hub of IT activities.",2,,28.7258129,77.1440506,2 Adults 2 Kids,"C and D Block, New Delhi",21253,Premier Inn,4113,Premium A/c Double,2229add8541b5bc3ed2bded787be0547
ObjectId(5b379a6ee15bc1a8984f1262),Newspaper|Pickup & Drop|AC,04/08/2016,05/08/2016,New Delhi,India,"What should you know? Solti Guest House is situated along the National Highway 8, around 4.5 km away from the Indira Gandhi International Airport. Air-conditioned rooms are available for accommodation at this establishment, and a total of 8 rooms are provided. Guests are offered laundry service, internet access, airport and railway station transfers, round-the-clock reception, power generator, and a doctor-on-call.Why should you stay here? Solti Guest house is situated close to the Indira Gandhi International Airport, which makes it convenient for travellers. The property provides budget-friendly rooms to guests.",151,,28.5483418,77.126709,2 Adults 2 Kids,"Mahipalpur, New Delhi",47996,Solti Guest House,778,Double Non-A/C Rooms,f43c41217e937d077d2e4c59af4f92d2
ObjectId(5b379a6ee15bc1a8984f1263),WiFi|Swimming Pool|Bar|Card Payment|Gym|Elevator|Parking,04/08/2016,05/08/2016,New Delhi,India,"Where it is: DelhiWhat you should know: Ashok Country Resort has every little thing you might need for a comfortable stay in Delhi, whether you are travelling for business or leisure. To work uninterrupted, you can use their business center, have meetings in their conference rooms, avail of the secretarial service, and stay connected on the Internet connection. You room is also equipped with a direct dial telephone and satellite TV. You can stay fit and healthy at their wellness center and take a few laps in the swimming pool. If you are a tourist, you can also book a tour around New Delhi at their travel desk.Why you should stay here: Ashok Country Resort gives you the facilities and service of a star hotel but all that and more at budget, economical rates.",4,,28.5221043,77.0972519,1 Adult 2 Kids,"Kapashera Estate, New Delhi",12789,Ashok Country Resort,3334,Club Single,502d298e89671f5d9e52ec9c52a7b9ac
ObjectId(5b379a6ee15bc1a8984f1264),Free Breakfast|Veg Only|Parking,04/08/2016,05/08/2016,Chittorgarh,India,Its a flat nicely constructed all the modern amenities are there and owner are traditional rajasthani Family Stays here in the same property.,5,,24.8751011,74.6180801,2 Adults 1 Kid,"Pratap Nagar, Chittorgarh",112742,Gopal Niwas,945,Standard Room,28b8bb07b13f44129b859c75932fcf33
ObjectId(5b379a6ee15bc1a8984f1265),WiFi|Newspaper|Card Payment|Pickup & Drop|Parking|AC,04/08/2016,05/08/2016,New Delhi,India,"What should you know? Located in the heart of the business, economic, and financial district of New Delhi, this budget hotel is a perfect place for business travellers. All the important tourist spots like Pragati Maidan, Connaught Place, and High Commission are in proximity of the property. It offers doctor-on-call, travel service assistance, dry cleaning, banquets halls for meetings and private parties, car rental services, and 24-hour room service.Why should you stay here?",3,,28.6494923,77.1898499,2 Adults 2 Kids,", New Delhi",61916,Royal Sunrise,2000,Deluxe A/c Double Bedded,6de95d8b8fc293bfbb0123e27b149095
ObjectId(5b379a6ee15bc1a8984f1266),AC,04/08/2016,05/08/2016,New Delhi,India,15 kms to Indira Gandhi International Airport 7 kms India Gate 10 kms New delhi railway station,2,,28.5732899,77.2219391,2 Adults 0 Kid,"South Extension I, New Delhi",111620,R K International,1889,Standard Double Room,a5cd28af9f95c6f3c0dfe8e896d1323a
ObjectId(5b379a6ee15bc1a8984f1267),Free Breakfast|WiFi|AC,04/08/2016,05/08/2016,New Delhi,India,"We have spacious and warmly furnished rooms. Rooms have King/Queen/Twin beds, an attached (en-suite) bathroom, and a large window with good views of the park outside. The rooms are furnished with hand crafted Sheesham wood furniture from Rajasthan and have traditional rugs on the floor to give you the experience of Haveli living.There is sufficient space in the wardrobe for your belongings and your room can be locked. Blankets and traditional quilts (Jaipuri Razais) are provided for your comfort. The attached (en-suite) bathrooms have standing showers and are well appointed.Step out of your room with a cup of tea and enjoy the outdoors from the various balconies and sit out areas.",1,,28.5177402,77.1621628,2 Adults 0 Kid,"Vasant Kunj, New Delhi",105462,Chhoti Haveli,3778,Standard Room,5ade01b5a84a5905800c424d6a7bb80d
ObjectId(5b379a6ee15bc1a8984f1268),WiFi|Pickup & Drop,04/08/2016,05/08/2016,Thiruvananthapuram,India,Johnys Beach house is providing budget and secure accommodation to the guests,5,,8.3841686,76.9806519,2 Adults 0 Kid,"Kovalam, Thiruvananthapuram",110486,Johnys Beach House,834,Double Non-A/C Rooms,360eee294cdab0887b56eb52bc63f782
ObjectId(5b379a6ee15bc1a8984f1269),,04/08/2016,05/08/2016,New Delhi,India,,4,,28.5181007,77.163765,2 Adults 2 Kids,", New Delhi",106118,Sumit PG,2223,Deluxe Double Room,2fb5f7ab70ea7b0ac77b1a217d2a00c4
ObjectId(5b379a6ee15bc1a8984f126a),WiFi|Free Breakfast|Elevator|Parking|AC,04/08/2016,05/08/2016,New Delhi,India,"good bussiness property colony park is on walkable distance gym , pastry shop , restaurant with multi cuisine , general store , chemist shop and many more coffee shop is also near by .",3,,28.5374203,77.2597275,2 Adults 0 Kid,"Kalkaji, New Delhi",110528,Luxury Service Apartment,1889,Studio Room,9986b47af1e0db2b2fe4bbd69be909c0
ObjectId(5b379a6ee15bc1a8984f126b),WiFi|AC,04/08/2016,05/08/2016,New Delhi,India,7 kms to India Gate 15 kms to Indira Gandhi international Airport,2,,28.5726337,77.2325134,2 Adults 0 Kid,"Defence Colony, New Delhi",112606,Luxury Service Apartment 2,1038,Luxury Set of 3 bhk room,79ee2d0a2eba762bd30186def48d6469
